Date,inpatient_care_num,released_from_treatment_num,to_be_confirmed,Prefecture,Prefecture_code
2020-05-09,462,424,0,Hokkaido,JP-01
2020-05-10,450,444,0,Hokkaido,JP-01
2020-05-11,439,459,0,Hokkaido,JP-01
2020-05-12,432,472,0,Hokkaido,JP-01
2020-05-13,409,502,0,Hokkaido,JP-01
2020-05-14,394,519,0,Hokkaido,JP-01
2020-05-15,389,528,0,Hokkaido,JP-01
2020-05-16,366,560,0,Hokkaido,JP-01
2020-05-17,343,589,0,Hokkaido,JP-01
2020-05-18,338,601,0,Hokkaido,JP-01
2020-05-19,319,620,0,Hokkaido,JP-01
2020-05-20,299,642,0,Hokkaido,JP-01
2020-05-21,272,670,0,Hokkaido,JP-01
2020-05-22,259,687,0,Hokkaido,JP-01
2020-05-23,241,711,0,Hokkaido,JP-01
2020-05-24,234,726,0,Hokkaido,JP-01
2020-05-25,239,734,0,Hokkaido,JP-01
2020-05-26,238,736,0,Hokkaido,JP-01
2020-05-27,227,755,0,Hokkaido,JP-01
2020-05-28,223,763,0,Hokkaido,JP-01
2020-05-29,222,770,0,Hokkaido,JP-01
2020-05-30,212,783,0,Hokkaido,JP-01
2020-05-31,200,799,0,Hokkaido,JP-01
2020-06-01,195,810,0,Hokkaido,JP-01
2020-06-02,197,812,0,Hokkaido,JP-01
2020-06-03,191,821,0,Hokkaido,JP-01
2020-06-04,183,831,0,Hokkaido,JP-01
2020-06-05,166,849,0,Hokkaido,JP-01
2020-06-06,156,863,0,Hokkaido,JP-01
2020-06-07,158,869,0,Hokkaido,JP-01
2020-06-08,150,881,0,Hokkaido,JP-01
2020-06-09,146,888,0,Hokkaido,JP-01
2020-06-10,135,906,0,Hokkaido,JP-01
2020-06-11,125,921,0,Hokkaido,JP-01
2020-06-12,122,931,0,Hokkaido,JP-01
2020-06-13,120,943,0,Hokkaido,JP-01
2020-06-14,122,950,0,Hokkaido,JP-01
2020-06-15,123,956,0,Hokkaido,JP-01
2020-06-16,126,959,0,Hokkaido,JP-01
2020-06-17,116,970,0,Hokkaido,JP-01
2020-06-18,115,977,0,Hokkaido,JP-01
2020-06-19,108,988,0,Hokkaido,JP-01
2020-06-20,97,1001,0,Hokkaido,JP-01
2020-06-21,95,1006,0,Hokkaido,JP-01
2020-06-22,92,1010,0,Hokkaido,JP-01
2020-06-23,93,1011,0,Hokkaido,JP-01
2020-06-24,83,1020,0,Hokkaido,JP-01
2020-06-25,84,1028,0,Hokkaido,JP-01
2020-06-26,86,1032,0,Hokkaido,JP-01
2020-06-27,79,1044,0,Hokkaido,JP-01
2020-06-28,75,1048,0,Hokkaido,JP-01
2020-06-29,86,1054,0,Hokkaido,JP-01
2020-06-30,97,1054,0,Hokkaido,JP-01
2020-07-01,103,1061,0,Hokkaido,JP-01
2020-07-02,95,1072,0,Hokkaido,JP-01
2020-07-03,97,1077,0,Hokkaido,JP-01
2020-07-04,94,1080,0,Hokkaido,JP-01
2020-07-05,87,1088,0,Hokkaido,JP-01
2020-07-06,83,1093,0,Hokkaido,JP-01
2020-07-07,78,1098,0,Hokkaido,JP-01
2020-07-08,71,1106,0,Hokkaido,JP-01
2020-07-09,61,1120,0,Hokkaido,JP-01
2020-07-10,56,1126,0,Hokkaido,JP-01
2020-07-11,62,1126,0,Hokkaido,JP-01
2020-07-12,59,1130,0,Hokkaido,JP-01
2020-07-13,61,1132,0,Hokkaido,JP-01
2020-07-14,62,1132,0,Hokkaido,JP-01
2020-07-15,66,1136,0,Hokkaido,JP-01
2020-07-16,76,1139,0,Hokkaido,JP-01
2020-07-17,80,1141,0,Hokkaido,JP-01
2020-07-18,75,1149,0,Hokkaido,JP-01
2020-07-19,81,1156,0,Hokkaido,JP-01
2020-07-20,88,1158,0,Hokkaido,JP-01
2020-07-21,85,1164,0,Hokkaido,JP-01
2020-07-22,88,1171,0,Hokkaido,JP-01
2020-07-23,90,1175,1,Hokkaido,JP-01
2020-07-24,87,1181,0,Hokkaido,JP-01
2020-07-25,86,1188,0,Hokkaido,JP-01
2020-07-26,92,1191,0,Hokkaido,JP-01
2020-07-27,92,1196,0,Hokkaido,JP-01
2020-07-28,91,1202,0,Hokkaido,JP-01
2020-07-29,82,1214,0,Hokkaido,JP-01
2020-07-30,86,1215,0,Hokkaido,JP-01
2020-07-31,73,1237,0,Hokkaido,JP-01
2020-08-01,82,1243,0,Hokkaido,JP-01
2020-08-02,96,1247,0,Hokkaido,JP-01
2020-08-03,100,1252,0,Hokkaido,JP-01
2020-08-04,114,1261,0,Hokkaido,JP-01
2020-08-05,123,1263,0,Hokkaido,JP-01
2020-08-06,127,1273,0,Hokkaido,JP-01
2020-08-07,120,1291,0,Hokkaido,JP-01
2020-08-08,128,1297,0,Hokkaido,JP-01
2020-08-09,126,1312,0,Hokkaido,JP-01
2020-08-10,133,1316,0,Hokkaido,JP-01
2020-08-11,142,1320,0,Hokkaido,JP-01
2020-08-12,153,1323,0,Hokkaido,JP-01
2020-08-13,146,1334,0,Hokkaido,JP-01
2020-08-14,142,1348,0,Hokkaido,JP-01
2020-08-15,134,1368,0,Hokkaido,JP-01
2020-08-16,137,1379,0,Hokkaido,JP-01
2020-08-17,136,1388,0,Hokkaido,JP-01
2020-08-18,129,1400,0,Hokkaido,JP-01
2020-08-19,128,1407,0,Hokkaido,JP-01
2020-08-20,114,1429,0,Hokkaido,JP-01
2020-08-21,111,1457,0,Hokkaido,JP-01
2020-08-22,115,1463,0,Hokkaido,JP-01
2020-08-23,130,1465,0,Hokkaido,JP-01
2020-08-24,137,1472,0,Hokkaido,JP-01
2020-08-25,141,1476,0,Hokkaido,JP-01
2020-08-26,136,1488,0,Hokkaido,JP-01
2020-08-27,132,1499,0,Hokkaido,JP-01
2020-08-28,129,1512,0,Hokkaido,JP-01
2020-08-29,130,1527,0,Hokkaido,JP-01
2020-08-30,133,1533,0,Hokkaido,JP-01
2020-08-31,130,1540,0,Hokkaido,JP-01
2020-09-01,120,1558,0,Hokkaido,JP-01
2020-09-02,127,1567,0,Hokkaido,JP-01
2020-09-03,121,1578,0,Hokkaido,JP-01
2020-09-04,111,1594,0,Hokkaido,JP-01
2020-09-05,103,1607,0,Hokkaido,JP-01
2020-09-06,96,1623,0,Hokkaido,JP-01
2020-09-07,82,1641,0,Hokkaido,JP-01
2020-09-08,85,1644,0,Hokkaido,JP-01
2020-09-09,81,1659,0,Hokkaido,JP-01
2020-09-10,74,1670,0,Hokkaido,JP-01
2020-09-11,75,1679,0,Hokkaido,JP-01
2020-09-12,64,1696,0,Hokkaido,JP-01
2020-09-13,62,1705,0,Hokkaido,JP-01
2020-09-14,60,1710,0,Hokkaido,JP-01
2020-09-15,61,1717,0,Hokkaido,JP-01
2020-09-16,62,1724,0,Hokkaido,JP-01
2020-09-17,62,1735,0,Hokkaido,JP-01
2020-09-18,62,1742,0,Hokkaido,JP-01
2020-09-19,76,1745,0,Hokkaido,JP-01
2020-09-20,85,1753,0,Hokkaido,JP-01
2020-09-21,98,1756,0,Hokkaido,JP-01
2020-09-22,108,1760,0,Hokkaido,JP-01
2020-09-23,109,1768,0,Hokkaido,JP-01
2020-09-24,105,1784,0,Hokkaido,JP-01
2020-09-25,97,1803,0,Hokkaido,JP-01
2020-09-26,111,1814,0,Hokkaido,JP-01
2020-09-27,110,1822,0,Hokkaido,JP-01
2020-09-28,120,1831,0,Hokkaido,JP-01
2020-09-29,126,1842,0,Hokkaido,JP-01
2020-09-30,136,1848,0,Hokkaido,JP-01
2020-10-01,138,1862,0,Hokkaido,JP-01
2020-10-02,138,1881,0,Hokkaido,JP-01
2020-10-03,135,1899,0,Hokkaido,JP-01
2020-10-04,136,1916,0,Hokkaido,JP-01
2020-10-05,148,1926,0,Hokkaido,JP-01
2020-10-06,173,1937,0,Hokkaido,JP-01
2020-10-07,174,1948,0,Hokkaido,JP-01
2020-10-08,196,1964,0,Hokkaido,JP-01
2020-10-09,198,1991,0,Hokkaido,JP-01
2020-10-10,204,2012,0,Hokkaido,JP-01
2020-10-11,211,2029,0,Hokkaido,JP-01
2020-10-12,221,2050,0,Hokkaido,JP-01
2020-10-13,210,2073,0,Hokkaido,JP-01
2020-10-14,207,2096,0,Hokkaido,JP-01
2020-10-15,194,2129,0,Hokkaido,JP-01
2020-10-16,187,2166,0,Hokkaido,JP-01
2020-10-17,199,2184,0,Hokkaido,JP-01
2020-10-18,211,2199,0,Hokkaido,JP-01
2020-10-19,213,2221,0,Hokkaido,JP-01
2020-10-20,205,2246,0,Hokkaido,JP-01
2020-10-21,216,2266,0,Hokkaido,JP-01
2020-10-22,217,2287,0,Hokkaido,JP-01
2020-10-23,235,2309,0,Hokkaido,JP-01
2020-10-24,260,2335,0,Hokkaido,JP-01
2020-10-25,292,2363,0,Hokkaido,JP-01
2020-10-26,311,2384,0,Hokkaido,JP-01
2020-10-27,343,2402,0,Hokkaido,JP-01
2020-10-28,362,2462,0,Hokkaido,JP-01
2020-10-29,362,2462,0,Hokkaido,JP-01
2020-10-30,383,2494,0,Hokkaido,JP-01
2020-10-31,408,2538,0,Hokkaido,JP-01
2020-11-01,446,2580,0,Hokkaido,JP-01
2020-11-02,492,2603,0,Hokkaido,JP-01
2020-11-03,545,2646,0,Hokkaido,JP-01
2020-11-04,570,2690,0,Hokkaido,JP-01
2020-11-05,608,2727,0,Hokkaido,JP-01
2020-11-06,674,2780,0,Hokkaido,JP-01
2020-11-07,713,2855,0,Hokkaido,JP-01
2020-11-08,769,2906,80,Hokkaido,JP-01
2020-11-09,976,2931,0,Hokkaido,JP-01
2020-11-10,1094,3012,0,Hokkaido,JP-01
2020-11-11,1160,3110,0,Hokkaido,JP-01
2020-11-12,1288,3176,0,Hokkaido,JP-01
2020-11-13,1455,3243,0,Hokkaido,JP-01
2020-11-14,1608,3324,0,Hokkaido,JP-01
2020-11-15,1719,3442,0,Hokkaido,JP-01
2020-11-16,1842,3525,0,Hokkaido,JP-01
2020-11-17,1916,3638,0,Hokkaido,JP-01
2020-11-18,1903,3846,0,Hokkaido,JP-01
2020-11-19,1943,4036,0,Hokkaido,JP-01
2020-11-20,1993,4246,0,Hokkaido,JP-01
2020-11-21,2113,4428,0,Hokkaido,JP-01
2020-11-22,2143,4629,0,Hokkaido,JP-01
2020-11-23,2214,4800,0,Hokkaido,JP-01
2020-11-24,2307,4910,0,Hokkaido,JP-01
2020-11-25,2359,5068,0,Hokkaido,JP-01
2020-11-26,2300,5302,0,Hokkaido,JP-01
2020-11-27,2248,5603,0,Hokkaido,JP-01
2020-11-28,2269,5825,0,Hokkaido,JP-01
2020-11-29,2375,5967,0,Hokkaido,JP-01
2020-11-30,2425,6206,102,Hokkaido,JP-01
2020-12-01,2281,6394,0,Hokkaido,JP-01
2020-12-02,2279,6588,0,Hokkaido,JP-01
2020-12-03,2171,6867,0,Hokkaido,JP-01
2020-12-04,2172,7061,0,Hokkaido,JP-01
2020-12-05,2163,7269,0,Hokkaido,JP-01
2020-12-06,2217,7394,0,Hokkaido,JP-01
2020-12-07,2237,7546,0,Hokkaido,JP-01
2020-12-08,2261,7640,0,Hokkaido,JP-01
2020-12-09,2248,7848,0,Hokkaido,JP-01
2020-12-10,2252,8025,0,Hokkaido,JP-01
2020-12-11,2274,8239,0,Hokkaido,JP-01
2020-12-12,2221,8459,0,Hokkaido,JP-01
2020-12-13,2226,8637,0,Hokkaido,JP-01
2020-12-14,2282,8887,39,Hokkaido,JP-01
2020-12-15,2243,9040,60,Hokkaido,JP-01
2020-12-16,2183,9287,172,Hokkaido,JP-01
2020-12-17,2011,9493,73,Hokkaido,JP-01
2020-12-18,1938,9673,52,Hokkaido,JP-01
2020-12-19,1886,9856,61,Hokkaido,JP-01
2020-12-20,1825,9930,56,Hokkaido,JP-01
2020-12-21,1881,10065,33,Hokkaido,JP-01
2020-12-22,1848,10230,98,Hokkaido,JP-01
2020-12-23,1750,10418,84,Hokkaido,JP-01
2020-12-24,1666,10571,34,Hokkaido,JP-01
2020-12-25,1632,10713,53,Hokkaido,JP-01
2020-12-26,1579,10851,19,Hokkaido,JP-01
2020-12-27,1598,10906,23,Hokkaido,JP-01
2020-12-28,1621,10988,7,Hokkaido,JP-01
2020-12-29,1628,11106,37,Hokkaido,JP-01
2020-12-30,1591,11168,68,Hokkaido,JP-01
2020-12-31,1659,11309,21,Hokkaido,JP-01
2021-01-01,1680,11418,14,Hokkaido,JP-01
2021-01-02,1666,11466,25,Hokkaido,JP-01
2021-01-03,1691,11521,1,Hokkaido,JP-01
2021-01-04,1692,11598,12,Hokkaido,JP-01
2021-01-05,1704,11771,97,Hokkaido,JP-01
2021-01-06,1607,12023,142,Hokkaido,JP-01
2021-01-07,1465,12228,46,Hokkaido,JP-01
2021-01-08,1419,12458,59,Hokkaido,JP-01
2021-01-09,1360,12573,96,Hokkaido,JP-01
2021-01-10,1456,12692,63,Hokkaido,JP-01
2021-01-11,1519,12767,55,Hokkaido,JP-01
2021-01-12,1574,12895,14,Hokkaido,JP-01
2021-01-13,1588,13064,64,Hokkaido,JP-01
